,ARS,AST,CFC,EVR,FUL,LFC,MCF,MAN,NEW,NOR,QPR,REA,SOT,STO,SUN,SWA,SPU,WBA,WHU,WIG,WES,WHU,WES,WHU,WHU,WOL
Arsenal,,2-1,1-2,0-0,3-3,2-2,0-2,1-1,7-3,3-1,1-0,4-1,6-1,1-0,0-0,0-2,5-2,2-0,5-1,4-1,,,,,,
Aston Villa,0-0,,1-2,1-3,1-1,1-2,0-1,2-3,1-2,1-1,3-2,1-0,0-1,0-0,6-1,2-0,0-4,1-1,2-1,0-3,,,,,,
Chelsea,2-1,8-0,,2-1,0-0,1-1,0-0,2-3,2-0,4-1,0-1,4-2,2-2,1-0,2-1,2-0,2-2,1-0,2-0,4-1,,,,,,
Everton,1-1,3-3,1-2,,1-0,2-2,2-0,1-0,2-2,1-1,2-0,3-1,3-1,1-0,2-1,0-0,2-1,2-1,2-0,2-1,,,,,,
Fulham,0-1,1-0,0-3,2-2,,1-3,1-2,0-1,2-1,5-0,3-2,2-4,1-1,1-0,1-3,1-2,0-3,3-0,3-1,1-1,,,,,,
Liverpool,0-2,1-3,2-2,0-0,4-0,,2-2,1-2,1-1,5-0,1-0,1-0,1-0,0-0,3-0,5-0,3-2,0-2,0-0,3-0,,,,,,
Manchester City,1-1,5-0,2-0,1-1,2-0,2-2,,2-3,4-0,2-3,3-1,1-0,3-2,3-0,3-0,1-0,2-1,1-0,2-1,1-0,,,,,,
Manchester Utd,2-1,3-0,0-1,2-0,3-2,2-1,1-2,,4-3,4-0,3-1,1-0,2-1,4-2,3-1,2-1,2-3,2-0,1-0,4-0,,,,,,
Newcastle Utd,0-1,1-1,3-2,1-2,1-0,0-6,1-3,0-3,,1-0,1-0,1-2,4-2,2-1,0-3,1-2,2-1,2-1,0-1,3-0,,,,,,
Norwich City,1-0,1-2,0-1,2-1,0-0,2-5,3-4,1-0,0-0,,1-1,2-1,0-0,1-0,2-1,2-2,1-1,4-0,0-0,2-1,,,,,,
QP Rangers,0-1,1-1,0-0,1-1,2-1,0-3,0-0,0-2,1-2,0-0,,1-1,1-3,0-2,3-1,0-5,0-0,1-2,1-2,1-1,,,,,,
Reading,2-5,1-2,2-2,2-1,3-3,0-0,0-2,3-4,2-2,0-0,0-0,,0-2,1-1,2-1,0-0,1-3,3-2,1-0,0-3,,,,,,
Southampton,1-1,4-1,2-1,0-0,2-2,3-1,3-1,2-3,2-0,1-1,1-2,1-0,,1-1,0-1,1-1,1-2,0-3,1-1,0-2,,,,,,
Stoke City,0-0,1-3,0-4,1-1,1-0,3-1,1-1,0-2,2-1,1-0,1-0,2-1,3-3,,0-0,2-0,1-2,0-0,0-1,2-2,,,,,,
Sunderland,0-1,0-1,1-3,1-0,2-2,1-1,1-0,0-1,1-1,1-1,0-0,3-0,1-1,1-1,,0-0,1-2,2-4,3-0,1-0,,,,,,
Swansea City,0-2,2-2,1-1,0-3,0-3,0-0,0-0,1-1,1-0,3-4,4-1,2-2,0-0,3-1,2-2,,1-2,3-1,3-0,2-1,,,,,,
Tottenham,2-1,2-0,2-4,2-2,0-1,2-1,3-1,1-1,2-1,1-1,2-1,3-1,1-0,0-0,1-0,1-0,,1-1,3-1,0-1,,,,,,
West Brom,1-2,2-2,2-1,2-0,1-2,3-0,1-2,5-5,1-1,2-1,3-2,1-0,2-0,0-1,2-1,2-1,0-1,,0-0,2-3,,,,,,
West Ham Utd,1-3,1-0,3-1,1-2,3-0,2-3,0-0,2-2,0-0,2-1,1-1,4-2,4-1,1-1,1-1,1-0,2-3,3-1,,2-0,,,,,,
Wigan Athletic,0-1,2-2,0-2,2-2,1-2,0-4,0-2,0-4,2-1,1-0,2-2,3-2,2-2,2-2,2-3,2-3,2-2,1-2,2-1,,,,,,,
